"","learn_rate","max_depth","sample_rate","col_sample_rate","train_AUC","val_AUC"
"163",0.01,4,0.9,0.3,0.993770643413925,0.957692307692308
"164",0.01,4,0.9,0.4,0.99537587528075,0.961538461538461
"165",0.01,4,0.9,0.5,0.995316422248646,0.958119658119658
"166",0.01,4,0.9,0.6,0.995395692958119,0.954487179487179
"167",0.01,4,0.9,0.7,0.994054696789536,0.957692307692308
"168",0.01,4,0.9,0.8,0.994622803540758,0.958547008547009
"169",0.01,4,0.9,0.9,0.994087726251817,0.961324786324786
"170",0.01,4,0.9,1,0.993671555027084,0.963034188034188
"171",0.01,4,1,0.1,0.993400713436385,0.962820512820513
"172",0.01,4,1,0.2,0.995501387237416,0.967094017094017
"173",0.01,4,1,0.3,0.994953098163562,0.960683760683761
"174",0.01,4,1,0.4,0.995151274937244,0.957905982905983
"175",0.01,4,1,0.5,0.995468357775135,0.962179487179487
"176",0.01,4,1,0.6,0.995488175452504,0.953205128205128
"177",0.01,4,1,0.7,0.995177698507068,0.957478632478633
"178",0.01,4,1,0.8,0.994854009776721,0.954700854700855
"179",0.01,4,1,0.9,0.993783855198837,0.95758547008547
"180",0.01,4,1,1,0.99231734707359,0.957264957264957
"181",0.01,5,0.5,0.1,0.992059717267803,0.961324786324786
"182",0.01,5,0.5,0.2,0.993400713436385,0.960042735042735
"183",0.01,5,0.5,0.3,0.99293830096446,0.95491452991453
"184",0.01,5,0.5,0.4,0.993651737349716,0.958760683760684
"185",0.01,5,0.5,0.5,0.993413925221297,0.957905982905983
"186",0.01,5,0.5,0.6,0.993189324877791,0.957051282051282
"187",0.01,5,0.5,0.7,0.993394107543929,0.95491452991453
"188",0.01,5,0.5,0.8,0.992561765094464,0.952350427350427
"189",0.01,5,0.5,0.9,0.991405733914652,0.946794871794872
"190",0.01,5,0.5,1,0.990989562689919,0.950854700854701
"191",0.01,5,0.6,0.1,0.992958118641828,0.96474358974359
"192",0.01,5,0.6,0.2,0.995217333861805,0.955982905982906
"193",0.01,5,0.6,0.3,0.994576562293566,0.962606837606838
"194",0.01,5,0.6,0.4,0.993995243757432,0.957692307692308
"195",0.01,5,0.6,0.5,0.993446954683578,0.95534188034188
"196",0.01,5,0.6,0.6,0.993949002510239,0.952350427350427
"197",0.01,5,0.6,0.7,0.994596379970934,0.948504273504273
"198",0.01,5,0.6,0.8,0.994067908574448,0.951495726495727
"199",0.01,5,0.6,0.9,0.992680671158674,0.953846153846154
"200",0.01,5,0.6,1,0.99238340599815,0.95491452991453
"201",0.01,5,0.7,0.1,0.995541022592152,0.961965811965812
"202",0.01,5,0.7,0.2,0.99567974633373,0.962606837606838
"203",0.01,5,0.7,0.3,0.995891134892324,0.956623931623932
"204",0.01,5,0.7,0.4,0.995858105430043,0.958119658119658
"205",0.01,5,0.7,0.5,0.995580657946889,0.951068376068376
"206",0.01,5,0.7,0.6,0.995646716871449,0.947222222222222
"207",0.01,5,0.7,0.7,0.995891134892324,0.954059829059829
"208",0.01,5,0.7,0.8,0.995858105430043,0.953632478632479
"209",0.01,5,0.7,0.9,0.994893645131457,0.953632478632479
"210",0.01,5,0.7,1,0.994966309948474,0.955555555555555
"211",0.01,5,0.8,0.1,0.995620293301625,0.966666666666667
"212",0.01,5,0.8,0.2,0.995877923107412,0.960470085470086
"213",0.01,5,0.8,0.3,0.996221429515127,0.957692307692308
"214",0.01,5,0.8,0.4,0.996987713040032,0.960470085470086
"215",0.01,5,0.8,0.5,0.996763112696525,0.95491452991453
"216",0.01,5,0.8,0.6,0.997106619104241,0.950854700854701
"217",0.01,5,0.8,0.7,0.997027348394768,0.957264957264957
"218",0.01,5,0.8,0.8,0.996617783062492,0.952991452991453
"219",0.01,5,0.8,0.9,0.996373365041617,0.958119658119658
"220",0.01,5,0.8,1,0.996287488439688,0.957264957264957
"221",0.01,5,0.9,0.1,0.995395692958119,0.966666666666667
"222",0.01,5,0.9,0.2,0.996564935922843,0.960897435897436
"223",0.01,5,0.9,0.3,0.996736689126701,0.959615384615385
"224",0.01,5,0.9,0.4,0.997760602457392,0.962179487179487
"225",0.01,5,0.9,0.5,0.99759545514599,0.951495726495727
"226",0.01,5,0.9,0.6,0.997179283921258,0.953205128205128
"227",0.01,5,0.9,0.7,0.997212313383538,0.955128205128205
