"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC"
"141","Rectifier",0,80,-2,1e-04,0.900151
"142","Rectifier",0,80,-2,1e-05,0.8888279
"143","Rectifier",0,80,-2,1e-06,0.8868682
"144","Rectifier",0,80,-2,1e-07,0.8996994
"145","Rectifier",0,80,-2,1e-08,0.905234
"146","Rectifier",0,80,-2,1e-09,0.8989801
"147","Rectifier",0,80,-2,1e-10,0.89528143
"148","Rectifier",0,90,0,1e-04,0.8852007
"149","Rectifier",0,90,0,1e-05,0.8969676
"150","Rectifier",0,90,0,1e-06,0.8910076
"151","Rectifier",0,90,0,1e-07,0.88857406
"152","Rectifier",0,90,0,1e-08,0.8955667
"153","Rectifier",0,90,0,1e-09,0.90389967
"154","Rectifier",0,90,0,1e-10,0.8951349
"155","Rectifier",0,90,-1,1e-04,0.89784014
"156","Rectifier",0,90,-1,1e-05,0.9017165
"157","Rectifier",0,90,-1,1e-06,0.8895978
"158","Rectifier",0,90,-1,1e-07,0.8862592
"159","Rectifier",0,90,-1,1e-08,0.88905525
"160","Rectifier",0,90,-1,1e-09,0.90280867
"161","Rectifier",0,90,-1,1e-10,0.89353585
"162","Rectifier",0,90,-2,1e-04,0.88831306
"163","Rectifier",0,90,-2,1e-05,0.8986556
"164","Rectifier",0,90,-2,1e-06,0.8950396
"165","Rectifier",0,90,-2,1e-07,0.8964093
"166","Rectifier",0,90,-2,1e-08,0.89464086
"167","Rectifier",0,90,-2,1e-09,0.90737885
"168","Rectifier",0,90,-2,1e-10,0.89582384
"169","Rectifier",0,100,0,1e-04,0.90874594
"170","Rectifier",0,100,0,1e-05,0.8934582
"171","Rectifier",0,100,0,1e-06,0.9051844
"172","Rectifier",0,100,0,1e-07,0.8829391
"173","Rectifier",0,100,0,1e-08,0.9009366
"174","Rectifier",0,100,0,1e-09,0.90277106
"175","Rectifier",0,100,0,1e-10,0.8951018
"176","Rectifier",0,100,-1,1e-04,0.8873001
"177","Rectifier",0,100,-1,1e-05,0.89217556
"178","Rectifier",0,100,-1,1e-06,0.8901565
"179","Rectifier",0,100,-1,1e-07,0.8844153
"180","Rectifier",0,100,-1,1e-08,0.8952184
"181","Rectifier",0,100,-1,1e-09,0.9080903
"182","Rectifier",0,100,-1,1e-10,0.89676225
"183","Rectifier",0,100,-2,1e-04,0.8989136
"184","Rectifier",0,100,-2,1e-05,0.894278
"185","Rectifier",0,100,-2,1e-06,0.8929107
"186","Rectifier",0,100,-2,1e-07,0.8875122
"187","Rectifier",0,100,-2,1e-08,0.8934878
"188","Rectifier",0,100,-2,1e-09,0.8985478
"189","Rectifier",0,100,-2,1e-10,0.89843607
"190","Rectifier",0,200,0,1e-04,0.8984163
"191","Rectifier",0,200,0,1e-05,0.89360535
"192","Rectifier",0,200,0,1e-06,0.89033943
"193","Rectifier",0,200,0,1e-07,0.88740295
"194","Rectifier",0,200,0,1e-08,0.8870841
"195","Rectifier",0,200,0,1e-09,0.9072556
"196","Rectifier",0,200,0,1e-10,0.9035329
"197","Rectifier",0,200,-1,1e-04,0.8859186
"198","Rectifier",0,200,-1,1e-05,0.9007454
"199","Rectifier",0,200,-1,1e-06,0.8979792
"200","Rectifier",0,200,-1,1e-07,0.89780194
"201","Rectifier",0,200,-1,1e-08,0.8896625
"202","Rectifier",0,200,-1,1e-09,0.8998101
"203","Rectifier",0,200,-1,1e-10,0.9052441
"204","Rectifier",0,200,-2,1e-04,0.8816263
"205","Rectifier",0,200,-2,1e-05,0.8937997
"206","Rectifier",0,200,-2,1e-06,0.88928914
"207","Rectifier",0,200,-2,1e-07,0.88998634
"208","Rectifier",0,200,-2,1e-08,0.9059967
"209","Rectifier",0,200,-2,1e-09,0.89827424
"210","Rectifier",0,200,-2,1e-10,0.9071516
